,id,name,price,info,url,reviews
0,1,Seggiano Raw Basil Pesto Genovese 200g,£7.75,"This vegan, raw pesto is not pasteurised, which is why it retains all of its flavour and tastes just like nonna made it.",https://www.planetorganic.com/products/seggiano-raw-basil-pesto-genovese-200g,
1,2,Keto Hana Keto Friendly Granola - Cinnamon 300g,£7.79,"""Keto breakfast, sorted. The first truly keto granola is high in good fats and has absolutely no added sugar. Sprinkle on natural yoghurt, add a couple of berries and contemplate the day ahead. """,https://www.planetorganic.com/products/keto-hana-keto-friendly-granola-cinnamon-300g,
2,3,Keto8 Raw Cacao Morsels 128g,£7.19,"Uniquely grain, gluten, yeast and dairy free.
 Nutrient-dense and nourishing Keto and Paleo-friendly macaroons that are low net carb and low sugar, making them the perfect addition to a low carb Keto lifestyle.",https://www.planetorganic.com/products/cru8-keto-cacao-macaroons-128g,
3,4,Planet Organic Chia Seeds 500g,£4.99,"""Chia is grown commercially for its seed, a food that is rich in omega-3 fatty acids. """,https://www.planetorganic.com/products/planet-organic-chia-seeds-500g,
4,5,Biona Green Pesto 120g,£4.29,"""Brings the real flavours of Italy to your table! Delicious with pasta, or use in dressings and sauces. Suitable for vegans.""",https://www.planetorganic.com/products/biona-green-pesto-120g,
5,6,Improv'eat Coconut Wrap Original 56g,£7.50,"""Busy lives require convenient solutions. Here's a ""grab-and-go"" convenience wrap without sacrificing life-enhancing ingredients, safe processing and earth-friendly packaging.""",https://www.planetorganic.com/products/improveat-coconut-wrap-original-56g,
6,7,Vivani 99% Dark Chocolate 80g,£4.29,Dark chocolate with 99% cocoa. Made from mild Panama cocoa and only a hint of coconut blossom sugar. Extra thin bar for an even more intensive cocoa experience.,https://www.planetorganic.com/products/vivani-99-dark-chocolate-80g,
7,8,Esti Extra Virgin Olive Oil 500ml,£15.99,"""A premium extra virgin olive oil with protected Designation of Origin, produced exclusively from Koroneiki olives of Kalamata, from selected olive groves of Kalamata. This superb olive oil boasts unprecedented organololeptic characteristics, a plush green colour, rich spicy taste and the distinctive aroma of freshly cut olives. The freshness of green olives with notes of apple, bitter almonds and spices make its aroma highly distinctive. It's production is limited and all bottles are numbered.""",https://www.planetorganic.com/products/esti-extra-virgin-olive-oil-500ml,
8,9,2die4 Activated Pistachio 100g,£12.99,"""2die4 Live Food's ACTIVATED Pistachio's have been long-soaked in water, and whole, raw Celtic sea salt. Presto! Fermentation has begun. The nuts are then long-dried (dehydrated, not cooked) at very low temperatures. This arrests, and does not kill the nutrient-enlivening transformation that takes place with fermentation, which simply re-ignites once the nuts are popped into the mouth. Activated nuts and seeds become noticeably lighter, tastier, more nourishing, free of bitterness and markedly more-ish. They have been deemed, in fact, by some very alive customers of ours, as 2die4!!""",https://www.planetorganic.com/products/2die4-activated-pistachio-100g,
9,10,Bragg Apple Cider Vinegar 473ml,£8.99,"""Bragg Organic Raw Apple Cider Vinegar is made from delicious, healthy, organically grown apples. Processed and bottled in accordance with USDA guidelines, it is Certified Organic by Organic Certifiers (USDA) and UK Soil Association. It is also Kosher Certified. Bragg Organic Raw Apple Cider Vinegar is full of zesty natural goodness. Non-GMO Certified. It’s a wholesome way to add delicious flavor to salads, veggies, most foods, and even sprinkle over popcorn.""",https://www.planetorganic.com/products/bragg-apple-cider-vinegar-473ml,
